"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.isActive","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.logo","game_id","home.color","home.alternateColor","home.logo","season","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","series.type","series.title","series.summary","series.completed","series.totalCompetitions","series.competitors","status.type.altDetail","player_box"
280617002,"s:40~l:46~e:280617002~c:280617002","2008-06-18T01:00Z",18624,"True","False","False","False","[{'type': 'event', 'headline': 'NBA FINALS - GAME 6'}]","2008-06-18T01:00Z",17,"FINAL",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","True",13,"s:40~l:46~t:13","Los Angeles","Lakers","LAL","Los Angeles Lakers","Lakers","542582","552582","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png",280617002,"006532","f1f2f3","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png",2008,1824,"TD Garden","Boston","MA",19156,"True","playoff","Playoff Series","BOS Wins series 4-2","True",7,"[{'id': '2', 'uid': 's:40~l:46~t:2', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/2?lang=en&region=us'}, {'id': '13', 'uid': 's:40~l:46~t:13', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/13?lang=en&region=us'}]","",TRUE
280615013,"s:40~l:46~e:280615013~c:280615013","2008-06-15T22:00Z",18997,"True","False","False","False","[{'type': 'event', 'headline': 'NBA FINALS - GAME 5'}]","2008-06-15T22:00Z",17,"FINAL",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",13,"s:40~l:46~t:13","Los Angeles","Lakers","LAL","Los Angeles Lakers","Lakers","True",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","006532","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png",280615013,"542582","552582","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png",2008,1841,"STAPLES Center","Los Angeles","CA",19068,"True","playoff","Playoff Series","BOS leads series 3-2","False",7,"[{'id': '13', 'uid': 's:40~l:46~t:13', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/13?lang=en&region=us'}, {'id': '2', 'uid': 's:40~l:46~t:2', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/2?lang=en&region=us'}]","",TRUE
280612013,"s:40~l:46~e:280612013~c:280612013","2008-06-12T22:00Z",18997,"True","False","False","False","[{'type': 'event', 'headline': 'NBA FINALS - GAME 4'}]","2008-06-12T22:00Z",17,"FINAL",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",13,"s:40~l:46~t:13","Los Angeles","Lakers","LAL","Los Angeles Lakers","Lakers","True",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","006532","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png",280612013,"542582","552582","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png",2008,1841,"STAPLES Center","Los Angeles","CA",19068,"True","playoff","Playoff Series","BOS leads series 3-1","False",7,"[{'id': '13', 'uid': 's:40~l:46~t:13', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/13?lang=en&region=us'}, {'id': '2', 'uid': 's:40~l:46~t:2', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/2?lang=en&region=us'}]","",TRUE
280610013,"s:40~l:46~e:280610013~c:280610013","2008-06-10T22:00Z",18997,"True","False","False","False","[{'type': 'event', 'headline': 'NBA FINALS - GAME 3'}]","2008-06-10T22:00Z",17,"FINAL",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",13,"s:40~l:46~t:13","Los Angeles","Lakers","LAL","Los Angeles Lakers","Lakers","True",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","006532","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png",280610013,"542582","552582","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png",2008,1841,"STAPLES Center","Los Angeles","CA",19068,"True","playoff","Playoff Series","BOS leads series 2-1","False",7,"[{'id': '13', 'uid': 's:40~l:46~t:13', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/13?lang=en&region=us'}, {'id': '2', 'uid': 's:40~l:46~t:2', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/2?lang=en&region=us'}]","",TRUE
280608002,"s:40~l:46~e:280608002~c:280608002","2008-06-09T01:00Z",18624,"True","False","False","False","[{'type': 'event', 'headline': 'NBA FINALS - GAME 2'}]","2008-06-09T01:00Z",17,"FINAL",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","True",13,"s:40~l:46~t:13","Los Angeles","Lakers","LAL","Los Angeles Lakers","Lakers","542582","552582","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png",280608002,"006532","f1f2f3","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png",2008,1824,"TD Garden","Boston","MA",19156,"True","playoff","Playoff Series","BOS leads series 2-0","False",7,"[{'id': '2', 'uid': 's:40~l:46~t:2', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/2?lang=en&region=us'}, {'id': '13', 'uid': 's:40~l:46~t:13', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/13?lang=en&region=us'}]","",TRUE
280605002,"s:40~l:46~e:280605002~c:280605002","2008-06-06T01:00Z",18624,"True","False","False","False","[{'type': 'event', 'headline': 'NBA FINALS - GAME 1'}]","2008-06-06T01:00Z",17,"FINAL",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","True",13,"s:40~l:46~t:13","Los Angeles","Lakers","LAL","Los Angeles Lakers","Lakers","542582","552582","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png",280605002,"006532","f1f2f3","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png",2008,1824,"TD Garden","Boston","MA",19156,"True","playoff","Playoff Series","BOS leads series 1-0","False",7,"[{'id': '2', 'uid': 's:40~l:46~t:2', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/2?lang=en&region=us'}, {'id': '13', 'uid': 's:40~l:46~t:13', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/13?lang=en&region=us'}]","",TRUE
280530008,"s:40~l:46~e:280530008~c:280530008","2008-05-31T00:30Z",22076,"True","False","False","False","[{'type': 'event', 'headline': 'EASTERN CONFERENCE FINALS - GAME 6'}]","2008-05-31T00:30Z",16,"SEMI",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",8,"s:40~l:46~t:8","Detroit","Pistons","DET","Detroit Pistons","Pistons","True",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","006532","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png",280530008,"FA002C","006bb6","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png",2008,3419,"The Palace of Auburn Hills","Detroit","MI",22076,"False","playoff","Playoff Series","BOS Wins series 4-2","True",7,"[{'id': '8', 'uid': 's:40~l:46~t:8', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/8?lang=en&region=us'}, {'id': '2', 'uid': 's:40~l:46~t:2', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/2?lang=en&region=us'}]","",TRUE
280529013,"s:40~l:46~e:280529013~c:280529013","2008-05-29T22:00Z",18997,"True","False","False","False","[{'type': 'event', 'headline': 'WESTERN CONFERENCE FINALS - GAME 5'}]","2008-05-29T22:00Z",16,"SEMI",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",13,"s:40~l:46~t:13","Los Angeles","Lakers","LAL","Los Angeles Lakers","Lakers","True",24,"s:40~l:46~t:24","San Antonio","Spurs","SA","San Antonio Spurs","Spurs","000000","061922","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png",280529013,"542582","552582","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png",2008,1841,"STAPLES Center","Los Angeles","CA",19068,"True","playoff","Playoff Series","LAL win series 4-1","True",7,"[{'id': '13', 'uid': 's:40~l:46~t:13', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/13?lang=en&region=us'}, {'id': '24', 'uid': 's:40~l:46~t:24', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/24?lang=en&region=us'}]","",TRUE
280528002,"s:40~l:46~e:280528002~c:280528002","2008-05-29T00:30Z",18624,"True","False","False","False","[{'type': 'event', 'headline': 'EASTERN CONFERENCE FINALS - GAME 5'}]","2008-05-29T00:30Z",16,"SEMI",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","True",8,"s:40~l:46~t:8","Detroit","Pistons","DET","Detroit Pistons","Pistons","FA002C","006bb6","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png",280528002,"006532","f1f2f3","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png",2008,1824,"TD Garden","Boston","MA",19156,"True","playoff","Playoff Series","BOS leads series 3-2","False",7,"[{'id': '2', 'uid': 's:40~l:46~t:2', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/2?lang=en&region=us'}, {'id': '8', 'uid': 's:40~l:46~t:8', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/8?lang=en&region=us'}]","",TRUE
280527024,"s:40~l:46~e:280527024~c:280527024","2008-05-28T00:00Z",18797,"True","False","False","False","[{'type': 'event', 'headline': 'WESTERN CONFERENCE FINALS - GAME 4'}]","2008-05-28T00:00Z",16,"SEMI",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",24,"s:40~l:46~t:24","San Antonio","Spurs","SA","San Antonio Spurs","Spurs","True",13,"s:40~l:46~t:13","Los Angeles","Lakers","LAL","Los Angeles Lakers","Lakers","542582","552582","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png",280527024,"000000","061922","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png",2008,780,"AT&T Center","San Antonio","TX",18354,"False","playoff","Playoff Series","LAL lead 3-1","False",7,"[{'id': '24', 'uid': 's:40~l:46~t:24', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/24?lang=en&region=us'}, {'id': '13', 'uid': 's:40~l:46~t:13', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/13?lang=en&region=us'}]","",TRUE
